ID,Entity,Category,Group,Layer,Component,Bin,Subbin,Attribution
14,Bill Gates,location_error,VisTxtParam,0,mlp,Context,Context_0/3,0.0
14,Bill Gates,location_error,VisTxtParam,0,mlp,Context,Context_1/3,0.0
14,Bill Gates,location_error,VisTxtParam,0,mlp,Context,Context_2/3,0.0
14,Bill Gates,location_error,VisTxtParam,0,mlp,Entity,Entity_0/1,0.40771484375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Final,Final_0/1,0.58447265625
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_0/20,0.214599609375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_1/20,0.1259765625
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_10/20,0.67431640625
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_11/20,0.101318359375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_12/20,0.0015697479248046875
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_13/20,0.0853271484375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_14/20,0.08154296875
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_15/20,0.05462646484375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_16/20,0.009307861328125
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_17/20,0.1282958984375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_18/20,0.159912109375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_19/20,0.270751953125
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_2/20,0.1346435546875
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_3/20,0.00342559814453125
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_4/20,0.047210693359375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_5/20,0.0404052734375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_6/20,0.11492919921875
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_7/20,0.020111083984375
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_8/20,0.07861328125
14,Bill Gates,location_error,VisTxtParam,0,mlp,Query,Query_9/20,0.177490234375
14,Bill Gates,location_error,VisTxtParam,1,mlp,Context,Context_0/3,0.0
14,Bill Gates,location_error,VisTxtParam,1,mlp,Context,Context_1/3,0.0
14,Bill Gates,location_error,VisTxtParam,1,mlp,Context,Context_2/3,0.0
14,Bill Gates,location_error,VisTxtParam,1,mlp,Entity,Entity_0/1,0.85107421875
14,Bill Gates,location_error,VisTxtParam,1,mlp,Final,Final_0/1,0.283447265625
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_0/20,0.01120758056640625
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_1/20,0.0855712890625
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_10/20,0.15673828125
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_11/20,0.0643310546875
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_12/20,0.01324462890625
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_13/20,0.006862640380859375
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_14/20,0.0738525390625
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_15/20,0.00727081298828125
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_16/20,0.0081024169921875
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_17/20,0.17529296875
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_18/20,0.07513427734375
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_19/20,0.061859130859375
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_2/20,0.05224609375
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_3/20,0.0165557861328125
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_4/20,0.01465606689453125
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_5/20,0.0164337158203125
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_6/20,0.03948974609375
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_7/20,0.035308837890625
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_8/20,0.06396484375
14,Bill Gates,location_error,VisTxtParam,1,mlp,Query,Query_9/20,0.038787841796875
14,Bill Gates,location_error,VisTxtParam,2,mlp,Context,Context_0/3,0.0
14,Bill Gates,location_error,VisTxtParam,2,mlp,Context,Context_1/3,0.0
14,Bill Gates,location_error,VisTxtParam,2,mlp,Context,Context_2/3,0.0
14,Bill Gates,location_error,VisTxtParam,2,mlp,Entity,Entity_0/1,0.81103515625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Final,Final_0/1,0.305419921875
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_0/20,0.01861572265625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_1/20,0.0810546875
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_10/20,0.1253662109375
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_11/20,0.2283935546875
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_12/20,0.052093505859375
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_13/20,0.01038360595703125
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_14/20,0.13720703125
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_15/20,0.0282135009765625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_16/20,0.1495361328125
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_17/20,0.04901123046875
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_18/20,0.0147857666015625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_19/20,0.06256103515625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_2/20,0.017669677734375
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_3/20,0.05078125
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_4/20,0.0113525390625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_5/20,0.0567626953125
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_6/20,0.018951416015625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_7/20,0.001438140869140625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_8/20,0.03424072265625
14,Bill Gates,location_error,VisTxtParam,2,mlp,Query,Query_9/20,0.06268310546875
14,Bill Gates,location_error,VisTxtParam,3,mlp,Context,Context_0/3,0.0
14,Bill Gates,location_error,VisTxtParam,3,mlp,Context,Context_1/3,0.0
14,Bill Gates,location_error,VisTxtParam,3,mlp,Context,Context_2/3,0.0
14,Bill Gates,location_error,VisTxtParam,3,mlp,Entity,Entity_0/1,0.953125
14,Bill Gates,location_error,VisTxtParam,3,mlp,Final,Final_0/1,0.6748046875
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_0/20,0.01141357421875
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_1/20,0.1331787109375
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_10/20,0.1986083984375
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_11/20,0.0220489501953125
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_12/20,0.01320648193359375
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_13/20,0.053070068359375
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_14/20,0.04241943359375
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_15/20,0.0032672882080078125
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_16/20,0.05328369140625
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_17/20,0.149658203125
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_18/20,0.032867431640625
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_19/20,0.0753173828125
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_2/20,0.034820556640625
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_3/20,0.0020618438720703125
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_4/20,0.006282806396484375
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_5/20,0.032684326171875
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_6/20,0.034698486328125
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_7/20,0.0540771484375
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_8/20,0.08404541015625
14,Bill Gates,location_error,VisTxtParam,3,mlp,Query,Query_9/20,0.0499267578125
14,Bill Gates,location_error,VisTxtParam,4,mlp,Context,Context_0/3,0.0
14,Bill Gates,location_error,VisTxtParam,4,mlp,Context,Context_1/3,0.0
14,Bill Gates,location_error,VisTxtParam,4,mlp,Context,Context_2/3,0.0
14,Bill Gates,location_error,VisTxtParam,4,mlp,Entity,Entity_0/1,0.37353515625
14,Bill Gates,location_error,VisTxtParam,4,mlp,Final,Final_0/1,3.830078125
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_0/20,0.02471923828125
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_1/20,0.188232421875
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_10/20,0.86962890625
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_11/20,0.096923828125
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_12/20,0.0109710693359375
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_13/20,0.083740234375
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_14/20,0.31494140625
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_15/20,0.259521484375
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_16/20,0.220947265625
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_17/20,0.344482421875
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_18/20,0.1253662109375
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_19/20,0.48974609375
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_2/20,0.1531982421875
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_3/20,0.0987548828125
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_4/20,0.0192718505859375
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_5/20,0.0328369140625
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_6/20,0.044464111328125
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_7/20,0.0286865234375
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_8/20,0.2078857421875
14,Bill Gates,location_error,VisTxtParam,4,mlp,Query,Query_9/20,0.08819580078125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Context,Context_0/3,0.0
14,Bill Gates,location_error,VisTxtParam,5,mlp,Context,Context_1/3,0.0
14,Bill Gates,location_error,VisTxtParam,5,mlp,Context,Context_2/3,0.0
14,Bill Gates,location_error,VisTxtParam,5,mlp,Entity,Entity_0/1,0.6875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Final,Final_0/1,1.798828125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_0/20,0.319091796875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_1/20,0.155517578125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_10/20,0.626953125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_11/20,0.39013671875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_12/20,0.026641845703125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_13/20,0.1385498046875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_14/20,0.1278076171875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_15/20,0.3623046875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_16/20,1.13671875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_17/20,0.28466796875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_18/20,0.2288818359375
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_19/20,1.4111328125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_2/20,0.058319091796875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_3/20,0.1064453125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_4/20,0.0258636474609375
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_5/20,0.03692626953125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_6/20,0.158203125
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_7/20,0.043548583984375
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_8/20,0.174560546875
14,Bill Gates,location_error,VisTxtParam,5,mlp,Query,Query_9/20,0.0003399848937988281
14,Bill Gates,location_error,VisTxtParam,6,mlp,Context,Context_0/3,0.0
14,Bill Gates,location_error,VisTxtParam,6,mlp,Context,Context_1/3,0.0
14,Bill Gates,location_error,VisTxtParam,6,mlp,Context,Context_2/3,0.0
14,Bill Gates,location_error,VisTxtParam,6,mlp,Entity,Entity_0/1,0.07965087890625
