ID,Entity,Category,Group,Layer,Component,Bin,Subbin,Attribution
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Context,Context_0/3,0.0
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Context,Context_1/3,0.0
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Context,Context_2/3,0.0
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Entity,Entity_0/1,0.80517578125
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Final,Final_0/1,7.975101470947266e-05
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_0/20,0.0162200927734375
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_1/20,0.0014743804931640625
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_10/20,0.0010967254638671875
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_11/20,0.0022735595703125
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_12/20,0.0015544891357421875
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_13/20,0.0004012584686279297
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_14/20,0.0005002021789550781
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_15/20,0.0004897117614746094
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_16/20,0.0007500648498535156
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_17/20,0.0002570152282714844
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_18/20,0.00028252601623535156
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_19/20,0.00160980224609375
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_2/20,0.0014495849609375
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_3/20,0.0011310577392578125
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_4/20,0.00010782480239868164
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_5/20,0.0007023811340332031
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_6/20,0.0038909912109375
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_7/20,0.0015697479248046875
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_8/20,0.0011539459228515625
57,Virat Kohli,Temporal_error,VisTxtCont,0,attn,Query,Query_9/20,0.0017299652099609375
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Context,Context_0/3,0.0
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Context,Context_1/3,0.0
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Context,Context_2/3,0.0
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Entity,Entity_0/1,0.333251953125
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Final,Final_0/1,0.0011529922485351562
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_0/20,0.01479339599609375
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_1/20,0.003017425537109375
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_10/20,0.0008039474487304688
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_11/20,0.0019989013671875
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_12/20,0.003726959228515625
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_13/20,0.0015430450439453125
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_14/20,0.0012254714965820312
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_15/20,0.0016002655029296875
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_16/20,0.0007162094116210938
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_17/20,0.0012884140014648438
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_18/20,0.002452850341796875
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_19/20,0.0008130073547363281
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_2/20,0.003093719482421875
57,Virat Kohli,Temporal_error,VisTxtCont,1,attn,Query,Query_3/20,0.005428314208984375
