ID,Entity,Category,Group,Layer,Component,Bin,Subbin,Attribution
135,David Harbour,location_error,VisTxtCont,0,attn,Context,Context_0/3,0.0
135,David Harbour,location_error,VisTxtCont,0,attn,Context,Context_1/3,0.0
135,David Harbour,location_error,VisTxtCont,0,attn,Context,Context_2/3,0.0
135,David Harbour,location_error,VisTxtCont,0,attn,Entity,Entity_0/1,0.02239990234375
135,David Harbour,location_error,VisTxtCont,0,attn,Final,Final_0/1,0.0517578125
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_0/20,0.00417327880859375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_1/20,0.011993408203125
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_10/20,0.00780487060546875
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_11/20,0.0064544677734375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_12/20,7.528066635131836e-05
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_13/20,0.00817108154296875
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_14/20,0.0009565353393554688
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_15/20,0.0029697418212890625
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_16/20,0.0225982666015625
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_17/20,0.020111083984375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_18/20,0.013763427734375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_19/20,0.018218994140625
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_2/20,0.037689208984375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_3/20,0.001750946044921875
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_4/20,0.0013399124145507812
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_5/20,0.00499725341796875
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_6/20,0.002712249755859375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_7/20,0.0093841552734375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_8/20,0.004730224609375
135,David Harbour,location_error,VisTxtCont,0,attn,Query,Query_9/20,0.0017070770263671875
135,David Harbour,location_error,VisTxtCont,1,attn,Context,Context_0/3,0.0
135,David Harbour,location_error,VisTxtCont,1,attn,Context,Context_1/3,0.0
135,David Harbour,location_error,VisTxtCont,1,attn,Context,Context_2/3,0.0
135,David Harbour,location_error,VisTxtCont,1,attn,Entity,Entity_0/1,0.055755615234375
135,David Harbour,location_error,VisTxtCont,1,attn,Final,Final_0/1,0.0684814453125
