ID,Entity,Category,Group,Layer,Component,Bin,Subbin,Attribution
75,John Cena,location_error,VisTxtCont,0,mlp,Context,Context_0/3,0.0
75,John Cena,location_error,VisTxtCont,0,mlp,Context,Context_1/3,0.0
75,John Cena,location_error,VisTxtCont,0,mlp,Context,Context_2/3,0.0
75,John Cena,location_error,VisTxtCont,0,mlp,Entity,Entity_0/1,0.0236358642578125
75,John Cena,location_error,VisTxtCont,0,mlp,Final,Final_0/1,3.933906555175781e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_0/20,3.463029861450195e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_1/20,8.988380432128906e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_10/20,1.33514404296875e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_11/20,9.417533874511719e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_12/20,5.066394805908203e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_13/20,1.0132789611816406e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_14/20,8.821487426757812e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_15/20,1.4483928680419922e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_16/20,1.2874603271484375e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_17/20,7.30752944946289e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_18/20,2.9802322387695312e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_19/20,1.4662742614746094e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_2/20,1.8358230590820312e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_3/20,9.715557098388672e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_4/20,6.973743438720703e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_5/20,6.031990051269531e-05
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_6/20,7.808208465576172e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_7/20,1.1920928955078125e-07
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_8/20,9.298324584960938e-06
75,John Cena,location_error,VisTxtCont,0,mlp,Query,Query_9/20,2.0205974578857422e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Context,Context_0/3,0.0
75,John Cena,location_error,VisTxtCont,1,mlp,Context,Context_1/3,0.0
75,John Cena,location_error,VisTxtCont,1,mlp,Context,Context_2/3,0.0
75,John Cena,location_error,VisTxtCont,1,mlp,Entity,Entity_0/1,0.0126953125
75,John Cena,location_error,VisTxtCont,1,mlp,Final,Final_0/1,4.589557647705078e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_0/20,0.00035762786865234375
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_1/20,5.418062210083008e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_10/20,2.5033950805664062e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_11/20,1.8298625946044922e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_12/20,1.4185905456542969e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_13/20,3.337860107421875e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_14/20,9.775161743164062e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_15/20,3.635883331298828e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_16/20,3.081560134887695e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_17/20,3.844499588012695e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_18/20,7.998943328857422e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_19/20,4.0531158447265625e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_2/20,2.6226043701171875e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_3/20,9.5367431640625e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_4/20,3.5762786865234375e-07
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_5/20,5.662441253662109e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_6/20,7.68899917602539e-06
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_7/20,1.6927719116210938e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_8/20,1.0311603546142578e-05
75,John Cena,location_error,VisTxtCont,1,mlp,Query,Query_9/20,4.0531158447265625e-06
75,John Cena,location_error,VisTxtCont,2,mlp,Context,Context_0/3,0.0
75,John Cena,location_error,VisTxtCont,2,mlp,Context,Context_1/3,0.0
75,John Cena,location_error,VisTxtCont,2,mlp,Context,Context_2/3,0.0
75,John Cena,location_error,VisTxtCont,2,mlp,Entity,Entity_0/1,0.00614166259765625
75,John Cena,location_error,VisTxtCont,2,mlp,Final,Final_0/1,5.900859832763672e-06
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_0/20,0.0001176595687866211
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_1/20,1.3828277587890625e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_10/20,2.0205974578857422e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_11/20,3.337860107421875e-06
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_12/20,8.738040924072266e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_13/20,3.504753112792969e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_14/20,1.2159347534179688e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_15/20,1.1920928955078125e-07
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_16/20,2.396106719970703e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_17/20,4.482269287109375e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_18/20,2.1696090698242188e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_19/20,1.722574234008789e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_2/20,4.6253204345703125e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_3/20,2.7418136596679688e-06
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_4/20,1.1146068572998047e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_5/20,5.0067901611328125e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_6/20,7.68899917602539e-06
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_7/20,2.0325183868408203e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_8/20,2.3663043975830078e-05
75,John Cena,location_error,VisTxtCont,2,mlp,Query,Query_9/20,2.5987625122070312e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Context,Context_0/3,0.0
75,John Cena,location_error,VisTxtCont,3,mlp,Context,Context_1/3,0.0
75,John Cena,location_error,VisTxtCont,3,mlp,Context,Context_2/3,0.0
75,John Cena,location_error,VisTxtCont,3,mlp,Entity,Entity_0/1,0.004192352294921875
75,John Cena,location_error,VisTxtCont,3,mlp,Final,Final_0/1,3.129243850708008e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_0/20,0.001811981201171875
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_1/20,0.00010007619857788086
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_10/20,6.079673767089844e-06
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_11/20,1.9848346710205078e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_12/20,1.3113021850585938e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_13/20,2.658367156982422e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_14/20,7.027387619018555e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_15/20,1.2695789337158203e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_16/20,6.276369094848633e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_17/20,0.00022721290588378906
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_18/20,2.9921531677246094e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_19/20,9.357929229736328e-06
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_2/20,3.62396240234375e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_3/20,1.9073486328125e-06
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_4/20,2.4437904357910156e-06
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_5/20,7.402896881103516e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_6/20,4.5299530029296875e-06
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_7/20,5.5789947509765625e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_8/20,3.409385681152344e-05
75,John Cena,location_error,VisTxtCont,3,mlp,Query,Query_9/20,3.165006637573242e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Context,Context_0/3,0.0
75,John Cena,location_error,VisTxtCont,4,mlp,Context,Context_1/3,0.0
75,John Cena,location_error,VisTxtCont,4,mlp,Context,Context_2/3,0.0
75,John Cena,location_error,VisTxtCont,4,mlp,Entity,Entity_0/1,0.00922393798828125
75,John Cena,location_error,VisTxtCont,4,mlp,Final,Final_0/1,6.598234176635742e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_0/20,0.00011056661605834961
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_1/20,9.161233901977539e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_10/20,1.4781951904296875e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_11/20,4.291534423828125e-06
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_12/20,0.0001308917999267578
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_13/20,4.363059997558594e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_14/20,3.725290298461914e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_15/20,3.17692756652832e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_16/20,0.00011235475540161133
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_17/20,0.0002593994140625
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_18/20,4.744529724121094e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_19/20,1.1920928955078125e-06
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_2/20,7.706880569458008e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_3/20,1.1920928955078125e-07
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_4/20,5.6803226470947266e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_5/20,9.298324584960938e-06
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_6/20,6.556510925292969e-06
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_7/20,2.2590160369873047e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_8/20,4.32133674621582e-05
75,John Cena,location_error,VisTxtCont,4,mlp,Query,Query_9/20,1.4483928680419922e-05
75,John Cena,location_error,VisTxtCont,5,mlp,Context,Context_0/3,0.0
75,John Cena,location_error,VisTxtCont,5,mlp,Context,Context_1/3,0.0
75,John Cena,location_error,VisTxtCont,5,mlp,Context,Context_2/3,0.0
75,John Cena,location_error,VisTxtCont,5,mlp,Entity,Entity_0/1,0.00943756103515625
75,John Cena,location_error,VisTxtCont,5,mlp,Final,Final_0/1,9.137392044067383e-05
75,John Cena,location_error,VisTxtCont,5,mlp,Query,Query_0/20,9.268522262573242e-05
75,John Cena,location_error,VisTxtCont,5,mlp,Query,Query_1/20,2.8133392333984375e-05
75,John Cena,location_error,VisTxtCont,5,mlp,Query,Query_10/20,1.3947486877441406e-05
75,John Cena,location_error,VisTxtCont,5,mlp,Query,Query_11/20,6.431341171264648e-05
75,John Cena,location_error,VisTxtCont,5,mlp,Query,Query_12/20,5.0067901611328125e-06
